,MASS_MEAN,MASS_STD,MASS_MAX,MASS_MODE,ATOMIC_RADII_STD,ATOMIC_RADII_MAX,ELECTRON_NEG_MEAN,ELECTRON_NEG_STD,ELECTRON_NEG_MIN,ELECTRON_NEG_MODE,IONIZATION_ENERGIES_MIN,ELECTRON_AFFINITIES_MEAN,ELECTRON_AFFINITIES_STD,ELECTRON_AFFINITIES_MIN,ELECTRON_AFFINITIES_MODE,IONIC_RADII_MEAN,IONIC_RADII_STD,IONIC_RADII_MAX,IONIC_RADII_MIN,IONIC_RADII_MODE,VALENCE_MEAN,VALENCE_STD,VALENCE_MAX,VALENCE_MIN,SHELL_RANGE,SHELL_MODE,S_E_MEAN,S_E_MODE,P_E_MEAN,P_E_STD,P_E_MAX,BLOCK_MEAN,BLOCK_RANGE,BLOCK_MIN,P_UNFILLED_STD,P_UNFILLED_MAX,D_UNFILLED_MEAN,MAX_OXIDATION_STATE_MEAN,MAX_OXIDATION_STATE_STD,MELTING_POINT_MEAN,MELTING_POINT_STD,MELTING_POINT_MIN,MELTING_POINT_MODE,MENDELEEV_NO_RANGE,MENDELEEV_NO_MODE,MOLAR_VOLUME_MEAN,MOLAR_VOLUME_STD,MOLAR_VOLUME_MIN,MOLAR_VOLUME_MODE,BOILING_POINT_MAX,ELEMENT_NUM,L2_NORM,N_ATOMS,SPACE_GROUP,GAMMA,A,B,C,DENSITY,LABEL
0,80.8234,46.59778,208.9804,78.96,0.16590661,1.6,2.36,0.24527533,1.9,2.55,16.703,1.5794989,0.5548825,0.7466071,2.0206046,0.90349996,0.18616366,1.035,0.55,1.0133333,3.4,0.9165151,4.0,1.0,3.0,4.0,1.9,2.0,3.3,1.1874342,4.0,1.1,1.0,1.0,0.83066237,3.0,0.0,5.5,0.67082036,550.077,279.22006,317.3,494.0,21.0,93.0,16.098,3.3207128,7.11,16.42,3200.0,4.0,0.6480741,10.0,143.0,119.99952,6.643404,6.642419,4.7775855,7.3506885,0.0
1,98.3408,23.4192,121.76,74.9216,0.15000004,1.45,2.115,0.06500006,2.05,2.05,16.626,0.9261106,0.121290594,0.80482,0.80482,0.745,0.08499998,0.83,0.66,0.66,3.0,0.0,3.0,3.0,1.0,4.0,2.0,2.0,3.0,0.0,3.0,1.0,0.0,1.0,0.0,3.0,0.0,5.0,0.0,996.89,93.109985,903.78,903.78,1.0,88.0,15.570001,2.6200004,12.95,12.95,1860.0,2.0,0.70710677,4.0,31.0,90.0,6.234183,3.8408027,3.0789425,8.860122,0.0
2,39.591,5.8520164,47.867,35.453,0.1885618,1.4,2.62,0.7636754,1.54,3.16,13.5755,2.433665,1.6674427,0.075545,3.6127253,0.8038888,0.033784013,0.8516667,0.78,0.78,4.0,1.4142135,5.0,2.0,1.0,3.0,2.0,2.0,3.3333333,2.3570228,5.0,1.3333334,1.0,1.0,0.4714045,1.0,2.6666667,6.0,1.4142135,761.4001,834.1031,171.6,171.6,48.0,99.0,15.139999,3.1819801,10.64,17.39,3560.0,2.0,0.74535596,6.0,11.0,118.78616,6.747664,3.2488613,4.528296,4.5338135,0.0
3,73.4415,41.376503,114.818,32.065,0.27499998,1.55,2.1799998,0.39999998,1.78,1.78,18.87041,1.2305152,0.84658927,0.383926,0.383926,0.90999997,0.030000001,0.94,0.88,0.88,2.5,1.5,4.0,1.0,2.0,3.0,2.0,2.0,2.5,1.5,4.0,1.0,0.0,1.0,1.5,5.0,0.0,4.5,1.5,409.055,20.695007,388.36,388.36,15.0,79.0,15.6449995,0.11500025,15.53,15.53,2345.0,2.0,0.70710677,4.0,164.0,120.0,3.9194899,3.9194899,6.167425,5.9450707,1.0
4,70.3792,51.3808,121.76,18.998404,0.47500002,1.45,3.0149999,0.96500003,2.05,2.05,16.626,2.2242956,1.1768943,1.0474012,1.0474012,0.7675,0.0625,0.83,0.705,0.705,4.0,1.0,5.0,3.0,3.0,2.0,2.0,2.0,4.0,1.0,5.0,1.0,0.0,1.0,1.0,3.0,0.0,2.0,3.0,478.65503,425.12503,53.53,53.53,14.0,88.0,14.695001,3.4950004,11.2,11.2,1860.0,2.0,0.70710677,4.0,12.0,119.96507,3.2791283,3.2756658,7.850366,6.3991485,1.0
5,123.155,4.4449997,127.6,118.71,0.025000036,1.45,2.03,0.06999993,1.96,1.96,14.63307,1.5414729,0.42940277,1.1120702,1.1120702,1.0616667,0.23166665,1.2933333,0.83,0.83,3.0,1.0,4.0,2.0,0.0,5.0,2.0,2.0,3.0,1.0,4.0,1.0,0.0,1.0,1.0,4.0,0.0,5.0,1.0,613.87,108.789986,505.08,505.08,9.0,83.0,18.375,2.084999,16.29,16.29,2875.0,2.0,0.70710677,4.0,31.0,90.0,4.581475,4.545991,4.555054,8.622511,0.0
6,39.568275,28.865864,74.9216,15.9994,0.26944384,1.15,2.936,0.61727136,2.18,3.44,18.5892,1.1985912,0.32151285,0.80482,1.4611053,1.0200001,0.29393876,1.26,0.66,1.26,3.6,0.48989797,4.0,3.0,2.0,2.0,2.0,2.0,3.6,0.48989797,4.0,1.0,0.0,1.0,0.48989797,3.0,0.0,3.2,1.4696939,468.87997,507.14236,54.8,54.8,12.0,101.0,15.596001,2.1604502,12.95,17.36,887.0,2.0,0.7211103,10.0,4.0,89.99933,8.396708,4.693818,3.2898278,5.067431,0.0
7,36.98796,10.716008,63.546,32.065,0.15041609,1.4,2.3420002,0.3235058,1.66,2.58,16.486305,1.5867467,0.617033,0.6758412,2.0771046,0.814,0.13469966,0.94,0.55,0.88,3.1,1.3747728,4.0,0.0,1.0,3.0,1.8,2.0,3.0,1.5491934,4.0,1.2,1.0,1.0,0.979796,3.0,0.5,5.6,0.66332495,650.25305,589.40216,317.3,388.36,37.0,94.0,14.156,3.5404496,7.11,15.53,3200.0,4.0,0.6480741,20.0,4.0,89.99256,10.380537,5.988301,4.375274,4.516591,0.0
8,16.685858,11.338616,39.0983,15.9994,0.63097143,2.2,2.6483335,0.9516375,0.82,3.44,0.0,1.1502478,0.382944,0.5014591,1.4611053,0.9333334,0.56811583,1.52,0.0,1.26,2.6666667,1.3743684,4.0,1.0,3.0,2.0,1.6666666,2.0,2.3333333,1.7950549,4.0,0.6666667,1.0,0.0,1.3743685,4.0,0.0,2.0,1.0,719.15656,1381.9878,14.01,54.8,93.0,101.0,19.121668,12.774741,5.29,17.36,4300.0,4.0,0.57735026,12.0,4.0,90.00233,5.7821617,3.7804148,7.1969595,2.1134896,0.0
9,75.8,3.1599998,78.96,72.64,0.050000012,1.25,2.28,0.26999998,2.01,2.01,15.93461,1.6266406,0.3939641,1.2326764,1.2326764,0.89166665,0.12166667,1.0133333,0.77,0.77,3.0,1.0,4.0,2.0,0.0,4.0,2.0,2.0,3.0,1.0,4.0,1.0,0.0,1.0,1.0,4.0,0.0,5.0,1.0,852.7,358.7,494.0,494.0,9.0,84.0,15.025,1.395,13.63,13.63,3093.0,2.0,0.70710677,2.0,156.0,120.0,3.666216,3.666216,2.6473596,8.168995,1.0
10,59.499107,33.074814,127.6,35.453,0.21086209,1.45,2.638182,0.7025385,1.6,3.16,14.32,2.7283792,1.2017846,0.917407,3.6127253,0.8375757,0.14517902,1.2933333,0.78,0.78,3.5454545,2.189381,5.0,0.0,2.0,3.0,1.7272727,2.0,3.5454545,2.189381,5.0,1.2727273,1.0,1.0,0.5749596,2.0,1.6363636,6.3636365,0.88139635,924.8963,1128.3977,171.6,171.6,46.0,99.0,15.879999,3.2114081,10.83,17.39,5017.0,3.0,0.698286,11.0,156.0,120.001854,6.9595394,6.9590993,4.902563,5.2853403,0.0
11,42.203697,23.205296,65.409,18.998404,0.425,1.35,2.815,1.1650001,1.65,1.65,17.96439,1.390595,2.0105948,-0.62,-0.62,0.79249996,0.087500006,0.88,0.705,0.705,3.5,1.5,5.0,2.0,2.0,2.0,2.0,2.0,2.5,2.5,5.0,1.5,1.0,1.0,0.5,1.0,0.0,0.5,1.5,373.105,319.575,53.53,53.53,26.0,76.0,10.18,1.02,9.16,9.16,1180.0,2.0,0.70710677,4.0,164.0,120.029564,3.052701,3.0499756,4.8192234,7.21607,1.0
12,139.775,60.815,200.59,78.96,0.17500001,1.5,2.275,0.27499998,2.0,2.0,18.75688,0.7503023,1.2703023,-0.52,-0.52,1.1291666,0.11583334,1.245,1.0133333,1.0133333,3.0,1.0,4.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,4.0,1.5,1.0,1.0,1.0,2.0,0.0,5.0,1.0,364.16,129.84,234.32,234.32,19.0,74.0,15.254999,1.165,14.09,14.09,958.0,2.0,0.70710677,4.0,164.0,119.98643,4.479359,4.477521,4.95902,10.777033,1.0
13,167.4,39.8,207.2,127.6,0.19999999,1.8,2.215,0.11500001,2.1,2.1,15.032499,1.1637986,0.8070773,0.3567212,0.3567212,1.2079166,0.085416675,1.2933333,1.1225,1.1225,3.0,1.0,4.0,2.0,1.0,5.0,2.0,2.0,3.0,1.0,4.0,1.0,0.0,1.0,1.0,4.0,0.0,5.0,1.0,661.635,61.024994,600.61,600.61,10.0,82.0,19.36,1.0999994,18.26,18.26,2022.0,2.0,0.70710677,4.0,123.0,90.0,6.337042,6.337042,0.9,30.764431,0.0
14,49.29983,26.158514,79.904,15.9994,0.3341656,1.4,2.6866667,0.7519456,1.66,1.66,16.486305,1.8335117,1.128424,0.6758412,0.6758412,1.0275,0.16606976,1.26,0.8825,0.8825,3.0,2.1602468,5.0,0.0,2.0,4.0,1.6666666,2.0,3.0,2.1602468,5.0,1.3333334,1.0,1.0,0.8164966,2.0,1.6666666,5.0,2.1602468,833.5332,955.98456,54.8,54.8,44.0,57.0,14.790001,5.4362555,7.23,7.23,2944.0,3.0,0.57735026,6.0,59.0,90.0,3.9017947,3.3098595,6.547251,5.8091536,0.0
15,61.933804,45.934402,107.8682,15.9994,0.5,1.6,2.685,0.75500005,1.93,1.93,21.4844,1.3827891,0.07831615,1.304473,1.304473,1.1733334,0.08666664,1.26,1.0866667,1.0866667,2.5,1.5,4.0,1.0,3.0,2.0,1.5,1.0,2.0,2.0,4.0,1.5,1.0,1.0,1.0,2.0,0.0,2.5,0.5,644.86505,590.06506,54.8,54.8,30.0,71.0,13.815001,3.545,10.27,10.27,2435.0,2.0,0.70710677,4.0,10.0,90.0,6.2701497,3.0523844,1.8193303,11.814303,0.0
16,95.86043,39.639584,178.49,79.904,0.17218721,1.55,2.645,0.57764614,1.3,2.96,14.61,2.6082928,1.3032016,0.17807,3.3635883,0.9099479,0.14124453,1.2733333,0.78,0.8825,5.25,2.046338,10.0,2.0,3.0,4.0,1.75,2.0,3.75,2.1650636,5.0,1.25,1.0,1.0,0.4330127,1.0,1.0,6.25,1.299038,744.46246,840.3649,171.6,265.8,49.0,98.0,18.02875,4.776828,8.56,19.78,4876.0,5.0,0.559017,8.0,1.0,122.8817,7.4860845,6.659562,4.5388675,6.7012863,0.0
17,138.43529,58.531284,196.96657,79.904,0.100000024,1.35,2.75,0.21000004,2.54,2.54,20.203,2.8360991,0.52748907,2.3086102,2.3086102,0.97625,0.09375003,1.07,0.8825,0.8825,3.0,2.0,5.0,1.0,2.0,4.0,1.5,1.0,2.5,2.5,5.0,1.5,1.0,1.0,0.5,1.0,0.0,6.0,1.0,801.565,535.765,265.8,265.8,28.0,70.0,14.995001,4.7850003,10.21,10.21,3129.0,2.0,0.70710677,4.0,12.0,119.963165,4.2574635,4.2527223,5.4288945,10.797788,0.0
