,symbol,kappa
0,Mn2Sc4Se8,1.46419
1,Ge1Ni2Zn1,2.85205
2,La6Ru8Sn26,0.689631
3,Ga1Pd2Sc1,2.43747
4,Ag2I2,0.562013
5,As4Co2,8.52199
6,Cu4Ni1Yb1,1.8199
7,Pt10Se8,1.33708
8,Cr4La4S12,2.92377
9,La8N4S6,3.15013
10,Cs3In9,0.36912
11,Re4S4Te4,5.67341
12,Cu4Sb4Se8,1.39627
13,Ag1Zr2,6.13645
14,Nb2P2,16.883
15,Ca1S1,14.7572
16,Ca4Ge4Ni6,3.49629
17,Cu1Hf1Hg2,0.638006
18,Ga4Ho2Pd2,2.78277
19,Ca2Ga4,3.93579
20,Cd2Er4Ge4,3.36541
21,S6Zn6,2.72643
22,Ge8,3.63824
23,Ho12Ru4,2.00312
24,Si2Th1,4.01412
25,Pb3Yb1,2.73178
26,Bi2Er6Mn1,3.3333
27,F9Y3,4.35946
28,Li2Se1,6.36615
29,As8Ga8,2.11284
30,Ir8Zr16,1.26678
31,As2Ba2Cu2,3.06018
32,Ag2Dy2Sn2,2.99707
33,Ce1Tl3,1.17159
34,C1Sn1,14.5718
35,Er1Hg2,1.9066
36,Cu36Ga16,0.657801
37,Ga3Ni5,3.28898
38,As1Rh2,8.29395
39,Cr3N1Pt1,3.6728
40,La3Sn7,1.48385
41,Cr2N6Sr6,4.60048
42,Cu2Nb8Si2,8.36711
43,Sc4Te4,2.67267
44,Pd1Zr2,8.32751
45,Mo2P4,22.4828
46,Bi2Ho6Rh1,2.03229
47,Rh1Y1,8.35667
48,Co4Er4Ga4,1.71742
49,C3N4,89.9282
50,O4,6.85764
51,Al2Cu2O4,8.57476
52,B28,37.9524
53,Au2Ta6,4.16073
54,Al3La1Pd2,5.23183
55,C1In1La3,5.83217
56,Al4Se8Sr2,2.49112
57,Ge6Rh10,2.60458
58,C1Er1Rh3,7.84537
59,Ga4La4Pt4,0.929383
60,Rh4Sb12,2.2737
61,Co8Ge26Lu6,1.69309
62,Nb2Pt2,9.63607
63,F12Na4Zn4,1.66288
64,Ca8H4N4,4.85686
65,Mn2Te2,2.37687
66,Dy2S4,6.01284
67,Ba1O3Pu1,7.02168
68,Ir4Zr12,1.15839
69,Au2Nb1,4.78683
70,Ni3P3W3,5.2733
71,Ir4Si4Ta4,8.97583
72,B8Fe4,31.7093
73,La1S1,9.21122
74,Br1K3O1,1.29405
75,Ga2P2,8.29456
76,Au4In8Na12,0.158287
77,Al1Pt3,4.24404
78,Li3Sb1,4.4981
79,Ba2Be4N4,8.3683
80,Ba1Fe1O3,7.22743
81,Cl16Hg12O4,0.354789
82,Sb1Tl1,1.47991
83,Dy2Pd2Sb2,2.45128
84,Cd2Cu2F8,1.73266
85,Au2O4Sc2,2.75783
86,Pb4Sr8,0.813002
87,Ag1In5Te8,0.817938
88,Mn2Si2Y1,8.16405
89,Al40V4,1.54549
90,F3Na1V1,2.63938
91,La4Sb2,3.53311
92,P1Sn1,7.19408
93,C1Ce1,28.801
94,B1In1Sc3,11.883
95,Pt1Sb1Tb1,5.66714
96,B1C7,145.22
97,Fe4Si4Ta4,6.57721
98,Hf3Rh3Sn3,2.84684
99,B4Nb6,26.7366
100,O3Re1,21.7342
101,Er3Pd3Sn3,1.82966
102,Hf2Si4,13.8866
103,C4Os8Zr16,3.71596
104,Ag2In1Y1,1.15397
105,Nb1S4Tl3,2.40303
106,P4,24.2209
107,Ge4Ir4Mn12,2.16236
108,B2Mg16Rh8,1.44628
109,Hf4P4,9.63376
110,N4Ni8Ta16,4.82
111,O8Pt6,1.8683
112,Ga4Ir4Y4,1.32207
113,S12Y8,3.30379
114,Hf4Pt12,3.58083
115,Al36Mg6Mn4,0.845425
116,In1P1Pt5,2.67249
117,C1Zr1,9.29651
118,Ir1N1,2.76067
119,Co4Sn4Tb4,2.79122
120,Cd6Ho2,1.28213
121,Zr2,14.7003
122,C6Si6,34.5239
123,Na1O3W1,13.6807
124,C2Cu1Rb1,4.80304
125,Co4Sb12,2.60437
126,La1Te1,7.41475
127,Li2Pd1Sb1,1.72066
128,Ge4Rh8,2.8744
129,Ge4Pt4Y4,2.96414
130,Ru4Si4Ti4,8.77734
131,F14Sr4Zn3,1.38888
132,B2Ge6Ta10,6.25204
133,Te2V2,3.95089
134,Al1Ba1Si1,7.98932
135,In3Zr1,5.45224
136,Ru8Sc4,1.16162
137,Al6Hf2,10.4611
138,Mg4Se8,2.44329
139,Cu4In1Tb1,3.18707
140,Gd2O8V2,5.37694
141,As1U1,0.781781
142,B4Mo4Nb2,21.3483
143,Al1N1,106.722
144,Au2Ge2Tb2,3.20744
145,Al1Cr1Cu2,3.62766
146,La1Pt5,3.7594
147,Li2Ru2Sn8,2.32989
148,Dy2Tl2Zn2,3.03407
149,As2Hg2K2,1.04089
150,Hg1Li1,1.19085
151,O3Rb1U1,10.1735
152,Al14Th4,3.38768
153,Al1Ru1,25.7684
154,Pt3V1,6.02183
155,Mn4Te8Zn2,0.234734
156,Rh4Sb8,3.04865
157,Rh4Si4,6.35458
158,Ge4La2Rh2,3.12372
159,Na2Pt4,3.77908
160,Cl4K2Pd1,1.18727
161,Ce4In2Pt4,1.90286
162,Ba1Ge3Pt1,3.12221
163,Ga2Y2,8.33868
164,Cd4Dy16Rh4,1.28642
165,Ba1O3Ti1,16.6821
166,Br6K2Re1,1.00021
167,Dy2In2Zn2,4.01433
168,Cd3I6,0.625531
169,Co1Nb1Sb1,9.98823
170,Ru8Sn12,2.20135
171,Li40Pb12,0.411493
172,Al4Ba1,4.98715
173,B2Zr1,88.4071
174,Al1Au2,0.961978
175,As16Mg24,1.12848
176,Ir1Mn1Sb1,3.68016
177,Ga3Hf3Rh3,3.55866
178,B2Hf1,75.6007
179,Ba6Pb10,0.570515
180,Ho6Tl10,0.439519
181,As1Cd1Pt5,2.28711
182,P12Ru4,9.26468
183,Ge4N8Si2,16.2028
184,C1Ni3Zn1,2.98737
185,Al4Ni2Y2,6.69616
186,Os4Te8,4.58186
187,Ba1O4S1,5.87666
188,Ca6Ge26Ir8,1.21055
189,Pd4Sn4Y4,1.63572
190,O4Os2,10.2115
191,Ca1Pd1,4.19746
192,Ir4Nb4Si4,9.67596
193,Si4Zr2,17.8111
194,Na6O9S2,2.77532
195,Ir1Si3Y1,8.63011
196,S1Tb1,9.54719
197,Al2Pd5U1,2.60759
198,Au4Bi2,0.848172
199,C4Cr2Sc2,25.97
200,Pd6Si3,2.03844
201,Co2Zr4,3.04521
202,Au2Er2Sn2,2.72302
203,O4S4Zr4,5.46648
204,Pa2Sb4,3.71887
205,Te4Y2,2.86735
206,Pt4Si4Th2,4.2788
207,Rh3Th1,3.94551
208,Dy4,5.71828
209,Ce2O4,6.72636
210,C1Ho1Rh3,7.8111
211,Be6P4,16.5215
212,Os1Ti1,35.3901
213,In3Pt3Th3,2.16296
214,Be26Hf2,14.1184
215,Mg2O2,10.5539
