,symbol,T,bte_3
0,AsBaLi,100,6.490846361
1,AsBaLi,150,4.304061675
2,AsBaLi,200,3.22472403
3,AsBaLi,250,2.579705113
4,AsBaLi,300,2.150322245
5,AsBaLi,350,1.843773855
6,AsBaLi,400,1.613882611
7,AsBaLi,450,1.435060384
8,AsBaLi,500,1.291976053
9,AsBaLi,550,1.174881064
10,AsBaLi,600,1.077279054
11,AsBaLi,650,0.9946733973
12,AsBaLi,700,0.9238523985
13,AsBaLi,750,0.8624607462
14,AsBaLi,800,0.8087318149
15,AsBaLi,850,0.7613145033
16,AsBaLi,900,0.7191578167
17,AsBaLi,950,0.6814319039
18,AsBaLi,1000,0.6474727856
19,Ba2N2Zn,100,5.195743854
20,Ba2N2Zn,150,3.54636919
21,Ba2N2Zn,200,2.750882638
22,Ba2N2Zn,250,2.268593491
23,Ba2N2Zn,300,1.937870143
24,Ba2N2Zn,350,1.693729507
25,Ba2N2Zn,400,1.504814279
26,Ba2N2Zn,450,1.353811965
27,Ba2N2Zn,500,1.230186237
28,Ba2N2Zn,550,1.127063594
29,Ba2N2Zn,600,1.039728464
30,Ba2N2Zn,650,0.9648210609
31,Ba2N2Zn,700,0.8998758318
32,Ba2N2Zn,750,0.8430397001
33,Ba2N2Zn,800,0.7928919162
34,Ba2N2Zn,850,0.7483245562
35,Ba2N2Zn,900,0.7084608305
36,Ba2N2Zn,950,0.6725978222
37,Ba2N2Zn,1000,0.6401654803
38,BP,100,2540.308907
39,BP,150,1313.66137
40,BP,200,795.2215738
41,BP,250,551.8428569
42,BP,300,419.9998917
43,BP,350,339.3812055
44,BP,400,285.4389018
45,BP,450,246.8790382
46,BP,500,217.9222487
47,BP,550,195.3441191
48,BP,600,177.2159215
49,BP,650,162.3168595
50,BP,700,149.837526
51,BP,750,139.2201892
52,BP,800,130.0678947
53,BP,850,122.0902485
54,BP,900,115.0697494
55,BP,950,108.8401399
56,BP,1000,103.2720558
57,BrK,100,6.079628771
58,BrK,150,4.005666048
59,BrK,200,2.997083573
60,BrK,250,2.396961874
61,BrK,300,1.998032349
62,BrK,350,1.713348168
63,BrK,400,1.499865305
64,BrK,450,1.333790326
65,BrK,500,1.200884966
66,BrK,550,1.092101153
67,BrK,600,1.001411026
68,BrK,650,0.9246426471
69,BrK,700,0.8588161864
70,BrK,750,0.8017462084
71,BrK,800,0.7517933206
72,BrK,850,0.7077035627
73,BrK,900,0.6685013647
74,BrK,950,0.6334163178
75,BrK,1000,0.6018319139
76,CaCdO2,100,25.88009231
77,CaCdO2,150,14.79604576
78,CaCdO2,200,10.57542757
79,CaCdO2,250,8.301541384
80,CaCdO2,300,6.857622577
81,CaCdO2,350,5.851377927
82,CaCdO2,400,5.106962715
83,CaCdO2,450,4.53268623
84,CaCdO2,500,4.07562728
85,CaCdO2,550,3.70293739
86,CaCdO2,600,3.393079977
87,CaCdO2,650,3.131316835
88,CaCdO2,700,2.90720758
89,CaCdO2,750,2.713142378
90,CaCdO2,800,2.54343985
91,CaCdO2,850,2.39377054
92,CaCdO2,900,2.260776195
93,CaCdO2,950,2.141811204
94,CaCdO2,1000,2.034762663
95,CaCsF3,100,5.278077258
96,CaCsF3,150,4.359798787
97,CaCsF3,200,3.595667319
98,CaCsF3,250,3.019276139
99,CaCsF3,300,2.586817361
100,CaCsF3,350,2.255959962
101,CaCsF3,400,1.996803289
102,CaCsF3,450,1.78925947
103,CaCsF3,500,1.619764789
104,CaCsF3,550,1.478976309
105,CaCsF3,600,1.360306528
106,CaCsF3,650,1.259002924
107,CaCsF3,700,1.171562915
108,CaCsF3,750,1.095354595
109,CaCsF3,800,1.028365435
110,CaCsF3,850,0.9690321537
111,CaCsF3,900,0.9161231276
112,CaCsF3,950,0.8686555697
113,CaCsF3,1000,0.8258361457
114,Cs2Se,100,0.7989583056
115,Cs2Se,150,0.5316138604
